"num_fatura","nom_filial","tpo_cliente","nom_sexo_cliente","id_linha_produto","vlr_preco_unitario","qtd_produtos","dta_venda","hra_venda","nom_forma_pagam","num_avaliacao"
"273-16-6619","B","Normal","Male","5","99.600006","4","3/15/2019","12:20","Credit card","2"
"636-48-8204","A","Normal","Male","1","103.68001","5","2/17/2019","11:15","Debit card","10"
"549-59-1358","A","Member","Male","6","null","2","3/2/2019","17:36","Debit card","7"
"227-03-5010","A","Member","Female","5","157.77","12","3/22/2019","19:20","Credit card","5"
"649-29-6775","B","Normal","Male","2","100.56","1","2/8/2019","15:31","Cash","8"
"189-17-4241","A","Normal","Female","2","263.01","3","3/10/2019","12:17","Credit card","4"
"145-94-9061","B","Normal","Female","3","265.08002","15","1/25/2019","19:48","Cash","5"
"848-62-7243","A","Normal","Male","4","74.67","7","3/15/2019","15:36","Cash","9"
"871-79-8483","B","Normal","Male","2","282.38998","15","2/25/2019","19:39","Credit card","2"
"149-71-6266","B","Member","Male","6","234.20999","27","1/28/2019","12:43","Cash","2"
"640-49-2076","B","Normal","Male","6","251.34","8","1/10/2019","14:49","Cash","6"
"595-11-5460","A","Normal","Male","4","289.74","1","3/15/2019","10:12","Credit card","6"
"183-56-6882","C","Member","Female","3","298.26","10","2/6/2019","10:42","Debit card","4"
"232-16-2483","C","Member","Female","6","204.36002","2","1/7/2019","12:28","Debit card","8"
"129-29-8530","A","Member","Male","6","187.86","8","3/10/2019","19:15","Debit card","4"
"272-65-1806","A","Normal","Female","1","182.64","9","1/15/2019","17:17","Debit card","6"
"333-73-7901","C","Normal","Female","4","164.76","6","3/23/2019","13:24","Debit card","9"
"777-82-7220","B","Member","Male","5","90.36","6","3/3/2019","13:01","Cash","10"
"280-35-5823","B","Member","Female","5","260.16","1","1/17/2019","18:45","Debit card","10"
"554-53-8700","C","Member","Male","5","null","5","2/2/2019","10:11","Cash","3"
"354-25-5821","B","Member","Female","6","207.36002","24","2/8/2019","13:03","Cash","7"
"228-96-1411","C","Member","Female","3","296.09998","6","3/4/2019","20:39","Cash","9"
"617-15-4209","C","Member","Male","4","46.11","1","3/16/2019","19:47","Cash","9"
"132-32-9879","B","Member","Female","1","281.88","3","3/9/2019","18:00","Cash","10"
"370-41-7321","B","Member","Male","4","170.06999","9","2/27/2019","17:24","Credit card","10"
"727-46-3608","B","Member","Female","3","60.03","9","2/6/2019","15:47","Debit card","5"
"669-54-1719","B","Member","Male","1","56.79","18","2/10/2019","12:45","Credit card","4"
"574-22-5561","C","Member","Female","2","247.88998","8","3/19/2019","17:08","Debit card","10"
"326-78-5178","C","Member","Male","3","274.2","52","2/3/2019","10:19","Cash","5"
"162-48-8011","A","Member","Female","3","133.77","5","2/10/2019","15:10","Cash","10"
"616-24-2851","B","Member","Female","2","53.61","3","3/22/2019","14:42","Debit card","8"
"778-71-5554","C","Member","Male","2","46.29","1","1/25/2019","15:46","Credit card","7"
"242-55-6721","B","Normal","Male","5","48.48","1","3/7/2019","11:49","Debit card","8"
"399-46-5918","C","Normal","Female","1","257.94","8","2/28/2019","19:01","Cash","10"
"106-35-6779","A","Member","Male","5","133.02","1","3/27/2019","11:26","Cash","7"
"635-40-6220","A","Normal","Male","4","268.8","8","2/7/2019","11:28","Debit card","8"
"817-48-8732","A","Member","Female","5","217.04999","10","1/20/2019","15:55","Cash","7"
"120-06-4233","C","Normal","Male","1","91.83","4","3/12/2019","20:36","Cash","10"
"285-68-5083","C","Member","Female","6","74.22","12","2/15/2019","17:47","Credit card","10"
"803-83-5989","C","Normal","Male","5","167.19","15","2/24/2019","10:55","Debit card","4"
"347-34-2234","B","Member","Female","6","165.20999","36","2/3/2019","13:40","Debit card","10"
"199-75-8169","A","Member","Male","6","47.43","16","3/6/2019","12:27","Credit card","5"
"853-23-2453","B","Member","Male","4","227.22","4","2/14/2019","14:35","Cash","9"
"877-22-3308","A","Member","Male","4","47.61","8","3/13/2019","16:40","Cash","7"
"838-78-4295","C","Normal","Female","4","100.41","2","2/10/2019","15:43","Debit card","8"
"109-28-2512","B","Member","Female","2","292.83002","6","1/7/2019","15:01","Debit card","10"
"232-11-3025","A","Normal","Male","6","236.31","10","1/24/2019","10:04","Cash","8"
"382-03-4532","A","Member","Female","4","null","1","2/2/2019","18:50","Cash","5"
"393-65-2792","C","Normal","Male","3","268.44","10","1/6/2019","12:46","Credit card","10"
"796-12-2025","C","Normal","Male","2","186.36","10","2/11/2019","16:19","Cash","7"
"510-95-6347","B","Member","Female","3","145.56","2","3/5/2019","18:17","Debit card","5"
"841-35-6630","C","Normal","Female","1","227.73001","4","3/9/2019","18:21","Cash","10"
"287-21-9091","A","Normal","Male","5","224.01","9","1/22/2019","10:55","Debit card","10"
"732-94-0499","C","Normal","Female","1","124.950005","10","1/13/2019","17:04","Credit card","7"
"263-10-3913","C","Member","Male","2","147.12","9","1/9/2019","14:20","Credit card","10"
"381-20-0914","A","Member","Female","2","60.03","9","1/12/2019","15:48","Credit card","7"
"829-49-1914","C","Member","Female","3","234.93","8","3/5/2019","16:24","Debit card","8"
"756-01-7507","C","Normal","Female","4","61.14","5","1/22/2019","18:56","Cash","7"
"870-72-4431","C","Normal","Female","4","297.57","6","1/21/2019","14:42","Credit card","7"
"847-38-7188","B","Normal","Female","3","290.04","9","1/26/2019","19:56","Debit card","3"
"480-63-2856","C","Normal","Male","3","57.75","8","1/23/2019","18:37","Debit card","8"
"787-56-0757","C","Member","Female","3","241.08","4","2/23/2019","18:45","Credit card","10"
"360-39-5055","C","Member","Male","6","146.73","10","3/9/2019","10:17","Cash","3"
"730-50-9884","C","Normal","Female","6","249.18","5","3/5/2019","14:31","Debit card","5"
"362-58-8315","C","Normal","Male","2","229.56","10","3/25/2019","10:23","Cash","5"
"633-44-8566","A","Member","Male","3","148.14","84","3/27/2019","20:35","Credit card","9"
"504-35-8843","A","Normal","Male","6","null","1","1/2/2019","16:57","Cash","7"
"318-68-5053","B","Normal","Female","4","230.97","6","2/27/2019","17:55","Cash","7"
"565-80-5980","C","Member","Female","5","142.14","10","1/23/2019","10:25","Cash","4"
"225-32-0908","C","Normal","Female","6","134.58","10","1/26/2019","19:54","Debit card","10"
"873-51-0671","A","Member","Female","6","65.94","14","1/10/2019","16:42","Debit card","6"
"152-08-9985","B","Member","Male","4","193.08","21","3/12/2019","12:09","Credit card","5"
"512-91-0811","C","Normal","Male","4","269.25","1","2/6/2019","20:05","Credit card","8"
"594-34-4444","A","Normal","Male","1","291.48","0","3/8/2019","20:38","Debit card","9"
"766-85-7061","B","Normal","Male","4","263.61002","8","3/29/2019","10:25","Debit card","6"
"871-39-9221","C","Normal","Female","1","37.35","6","2/9/2019","13:11","Cash","5"
"865-92-6136","A","Normal","Male","3","158.25","2","3/23/2019","10:16","Debit card","10"
"733-01-9107","B","Normal","Male","5","248.09999","4","3/5/2019","18:14","Cash","9"
"163-56-7055","C","Member","Male","2","146.13","0","3/26/2019","19:20","Cash","5"
"189-98-2939","C","Normal","Male","2","235.65001","7","3/1/2019","13:22","Cash","9"
"551-21-3069","C","Normal","Female","1","69.21","9","2/1/2019","11:27","Cash","6"
"212-62-1842","A","Normal","Male","3","174.78","4","3/28/2019","16:44","Cash","10"
"716-39-1409","B","Normal","Male","4","91.05","5","3/19/2019","18:19","Cash","10"
"704-48-3927","A","Member","Male","1","266.01","10","1/12/2019","14:50","Debit card","9"
"628-34-3388","C","Normal","Male","2","82.14","6","1/5/2019","20:54","Credit card","10"
"630-74-5166","A","Normal","Male","6","186.39","4","3/22/2019","20:19","Cash","9"
"588-01-7461","C","Normal","Female","3","101.94","18","3/24/2019","10:43","Cash","2"
"861-77-0145","C","Member","Male","1","245.91","8","3/3/2019","14:30","Cash","10"
"479-26-8945","B","Member","Female","6","49.47","8","2/5/2019","11:32","Debit card","5"
"210-67-5886","C","Member","Female","4","294.63","7","2/5/2019","10:41","Credit card","4"
"227-78-1148","B","Normal","Female","2","218.51999","21","2/15/2019","12:44","Cash","5"
"645-44-1170","A","Member","Male","5","174.20999","9","1/19/2019","20:07","Debit card","5"
"237-01-6122","C","Member","Female","5","242.37","9","2/1/2019","20:31","Credit card","10"
"225-98-1496","C","Normal","Female","2","null","2","3/2/2019","13:01","Credit card","9"
"291-32-1427","B","Member","Male","2","65.82","12","3/5/2019","12:29","Debit card","3"
"659-65-8956","B","Member","Male","2","154.08","1","1/16/2019","15:26","Debit card","6"
"642-32-2990","A","Normal","Female","3","null","10","2/2/2019","20:48","Debit card","7"
"378-24-2715","B","Normal","Male","5","160.31999","2","1/20/2019","20:38","Debit card","5"
"638-60-7125","A","Normal","Female","1","298.68","8","2/14/2019","17:03","Credit card","6"
"659-36-1684","C","Member","Male","6","171.36","7","1/12/2019","12:02","Credit card","8"
"219-22-9386","B","Member","Male","6","299.88","7","3/9/2019","17:26","Credit card","5"
"336-78-2147","C","Member","Male","5","191.73","6","3/13/2019","19:52","Credit card","5"
"268-27-6179","B","Member","Female","2","169.41","6","3/9/2019","14:57","Debit card","9"
"668-90-8900","A","Normal","Female","5","281.07","5","3/10/2019","18:44","Credit card","5"
"870-54-3162","A","Normal","Female","6","96.75","5","1/27/2019","13:26","Cash","10"
"189-08-9157","C","Normal","Female","2","95.19","9","1/8/2019","16:17","Credit card","7"
"663-86-9076","C","Member","Female","3","205.62","8","1/8/2019","15:57","Debit card","10"
"549-84-7482","B","Normal","Female","6","270.84","9","2/8/2019","11:15","Debit card","9"
"191-10-6171","B","Normal","Female","2","118.86","7","1/25/2019","13:18","Cash","9"
"802-70-5316","A","Member","Female","6","276.38998","36","3/6/2019","20:34","Cash","10"
"695-51-0018","B","Normal","Female","6","104.520004","4","2/10/2019","18:36","Cash","9"
"590-83-4591","B","Member","Male","1","262.34998","6","2/17/2019","14:40","Credit card","10"
"483-71-1164","C","Normal","Female","4","243.90001","4","3/8/2019","16:43","Debit card","6"
"597-78-7908","C","Normal","Male","2","270.66","3","2/18/2019","19:39","Cash","8"
"700-81-1757","A","Normal","Female","1","78.93","5","1/18/2019","20:59","Credit card","10"
"354-39-5160","A","Member","Female","5","103.259995","6","2/18/2019","15:39","Cash","10"
"241-72-9525","B","Normal","Male","6","155.73","30","2/16/2019","12:21","Cash","4"
"575-30-8091","A","Normal","Male","6","217.5","12","3/16/2019","19:25","Debit card","5"
"731-81-9469","C","Member","Female","6","269.40002","20","1/23/2019","13:00","Credit card","7"
"280-17-4359","C","Member","Male","4","271.5","10","1/25/2019","13:48","Cash","10"
"338-65-2210","C","Member","Female","4","205.79999","10","2/5/2019","19:57","Cash","10"
"488-25-4221","C","Member","Female","3","91.229996","2","2/22/2019","10:36","Credit card","5"
"239-10-7476","A","Normal","Female","5","233.84999","6","1/21/2019","16:37","Debit card","10"
"458-41-1477","C","Normal","Female","4","138.78","4","3/8/2019","17:11","Credit card","10"
"685-64-1609","A","Member","Female","2","90.42","20","2/10/2019","12:28","Debit card","5"
"568-90-5112","C","Normal","Male","4","198.42","3","3/19/2019","12:46","Credit card","7"
"262-47-2794","B","Member","Male","5","215.58","6","3/6/2019","15:07","Credit card","8"
"238-49-0436","A","Normal","Male","4","97.38","6","3/27/2019","13:48","Credit card","6"
"608-96-3517","B","Member","Female","2","274.62","9","3/23/2019","19:20","Credit card","2"
"584-86-7256","C","Member","Male","6","103.68001","5","3/11/2019","16:07","Credit card","9"
"746-94-0204","A","Normal","Male","2","249.72","9","1/29/2019","11:56","Credit card","9"
"214-17-6927","C","Normal","Female","3","49.44","6","2/7/2019","18:23","Debit card","10"
"400-89-4171","C","Normal","Female","6","242.91","8","1/28/2019","13:05","Cash","10"
"782-95-9291","A","Member","Male","3","276.87","15","2/20/2019","15:55","Credit card","10"
"279-74-2924","B","Member","Male","1","216.51","3","1/4/2019","19:40","Cash","3"
"307-85-2293","B","Normal","Male","5","150.84","4","3/7/2019","13:58","Debit card","10"
"743-04-1105","B","Member","Male","4","291.66","7","3/30/2019","14:43","Debit card","7"
"423-57-2993","B","Normal","Male","6","280.16998","14","3/27/2019","19:18","Debit card","6"
"894-41-5205","C","Normal","Female","3","129.54001","8","1/19/2019","19:39","Credit card","10"
"275-28-0149","A","Normal","Male","6","191.06999","1","2/25/2019","16:21","Cash","7"
"101-17-6199","A","Normal","Male","3","137.37","11","3/13/2019","19:44","Credit card","4"
"423-80-0988","C","Normal","Male","6","229.20001","2","1/30/2019","19:42","Debit card","8"
"548-46-9322","B","Normal","Male","3","119.700005","10","2/20/2019","15:24","Credit card","7"
"505-02-0892","B","Member","Male","4","127.71","8","2/25/2019","14:12","Debit card","7"
"234-65-2137","C","Normal","Male","5","286.74","10","1/16/2019","13:32","Cash","6"
"687-47-8271","A","Normal","Male","2","296.94","10","2/8/2019","16:20","Credit card","10"
"796-32-9050","A","Normal","Male","3","153.84","6","1/19/2019","16:31","Cash","8"
"105-31-1824","A","Member","Male","6","208.56","7","2/1/2019","15:10","Credit card","10"
"249-42-3782","A","Normal","Male","4","210.03","5","1/3/2019","11:36","Debit card","7"
"316-55-4634","B","Member","Male","3","240.15001","22","1/26/2019","12:45","Credit card","5"
"733-33-4967","C","Normal","Male","1","62.550003","6","3/3/2019","19:17","Cash","8"
"608-27-6295","B","Member","Male","1","158.67","6","1/19/2019","17:34","Credit card","10"
"414-12-7047","B","Normal","Male","3","59.370003","24","1/18/2019","12:04","Debit card","5"
"827-26-2100","A","Member","Male","5","101.520004","7","3/21/2019","16:21","Debit card","10"
"175-54-2529","A","Member","Male","3","66.51","96","3/3/2019","17:01","Credit card","10"
"139-52-2867","C","Normal","Female","2","67.53","17","2/13/2019","10:50","Credit card","2"
"407-63-8975","A","Normal","Male","3","221.63998","9","3/23/2019","19:16","Debit card","2"
"342-65-4817","C","Member","Male","4","260.40002","3","1/28/2019","16:47","Debit card","10"
"130-98-8941","C","Normal","Male","2","192.78","17","2/9/2019","10:00","Cash","3"
"434-83-9547","C","Member","Male","3","115.41","12","1/23/2019","11:51","Cash","10"
"851-28-6367","A","Member","Male","6","46.5","8","3/23/2019","10:55","Debit card","10"
"824-88-3614","C","Normal","Male","4","102.93001","8","1/25/2019","15:00","Debit card","7"
"586-25-0848","A","Normal","Female","6","37.02","5","3/4/2019","11:19","Credit card","8"
"895-66-0685","B","Member","Male","3","54.239998","108","3/5/2019","19:46","Debit card","4"
"305-14-0245","B","Member","Female","5","283.47","19","3/3/2019","19:00","Debit card","4"
"732-04-5373","B","Member","Male","5","139.41","4","2/8/2019","10:53","Cash","9"
"400-60-7251","A","Normal","Male","5","222.20999","2","2/10/2019","12:50","Debit card","5"
"593-65-1552","C","Normal","Female","5","209.43","4","1/28/2019","20:50","Credit card","7"
"284-34-9626","B","Normal","Female","5","231.12","3","2/11/2019","10:39","Credit card","9"
"437-58-8131","B","Normal","Female","2","220.56","2","1/15/2019","13:41","Debit card","5"
"286-43-6208","C","Normal","Female","3","263.40002","7","3/16/2019","19:08","Cash","10"
"641-43-2399","B","Normal","Male","5","76.649994","4","1/26/2019","20:23","Debit card","7"
"831-07-6050","A","Normal","Male","1","98.13","4","3/19/2019","11:30","Credit card","10"
"556-86-3144","C","Member","Female","2","222.87","1","1/13/2019","19:30","Cash","6"
"848-24-9445","C","Member","Male","4","131.1","1","3/26/2019","18:03","Cash","6"
"856-22-8149","A","Normal","Female","5","75.87","0","3/23/2019","10:13","Debit card","7"
"699-01-4164","C","Normal","Male","4","124.5","3","3/12/2019","19:58","Credit card","10"
"420-11-4919","C","Member","Female","3","214.17","5","2/17/2019","19:57","Credit card","7"
"606-80-4905","C","Member","Female","6","57.449997","30","1/29/2019","10:01","Credit card","4"
"542-41-0513","B","Member","Female","1","172.47","3","3/15/2019","11:57","Cash","8"
"426-39-2418","C","Normal","Male","1","184.23","17","1/14/2019","10:02","Cash","5"
"875-46-5808","B","Member","Male","4","77.7","10","2/6/2019","14:51","Debit card","10"
"394-43-4238","B","Member","Male","5","53.31","15","2/15/2019","12:42","Credit card","3"
"749-24-1565","A","Normal","Female","4","69.090004","18","1/3/2019","12:02","Debit card","4"
"672-51-8681","C","Member","Female","1","199.95001","9","1/4/2019","18:19","Credit card","10"
"263-87-5680","C","Member","Female","5","85.590004","8","3/18/2019","17:38","Debit card","10"
"573-58-9734","B","Normal","Female","2","91.11","2","3/28/2019","13:41","Debit card","6"
"817-69-8206","B","Normal","Female","1","null","21","3/2/2019","19:42","Credit card","3"
"888-02-0338","A","Normal","Male","1","78.69","9","1/25/2019","20:24","Debit card","7"
"677-11-0152","C","Normal","Female","3","279.78","9","1/16/2019","18:08","Cash","10"
"142-63-6033","B","Normal","Male","5","277.08002","12","3/20/2019","19:17","Debit card","2"
"656-16-1063","B","Normal","Male","6","139.26","3","1/4/2019","13:24","Credit card","5"
"891-58-8335","B","Member","Female","6","88.83","42","3/11/2019","15:53","Cash","8"
"802-43-8934","A","Normal","Male","5","54.840004","0","3/22/2019","15:05","Credit card","10"
"560-30-5617","B","Normal","Female","6","74.31","4","3/24/2019","18:27","Cash","10"
"319-74-2561","A","Member","Female","1","283.91998","3","2/21/2019","16:55","Cash","7"
"549-03-9315","B","Normal","Male","2","284.61002","24","2/12/2019","12:58","Debit card","5"
"790-29-1172","B","Normal","Female","3","172.02","2","3/10/2019","18:59","Credit card","10"
"239-36-3640","B","Normal","Male","1","136.04999","6","1/31/2019","13:44","Debit card","7"
"468-01-2051","B","Normal","Male","3","186.24","5","3/6/2019","13:46","Debit card","7"
"389-25-3394","C","Normal","Male","1","35.43","5","2/17/2019","18:06","Cash","10"
"279-62-1445","C","Member","Female","2","37.62","1","2/21/2019","12:38","Cash","10"
"213-72-6612","A","Normal","Male","3","129.75","1","3/20/2019","15:56","Cash","8"
"746-68-6593","C","Member","Female","6","261.48","4","1/11/2019","14:29","Credit card","10"
"836-82-5858","B","Member","Male","4","208.11002","27","1/26/2019","19:14","Debit card","2"
"583-72-1480","C","Member","Male","1","111.18001","4","1/31/2019","16:24","Debit card","10"
"466-61-5506","B","Member","Female","1","272.09998","6","2/26/2019","10:52","Cash","6"
"721-86-6247","A","Normal","Female","5","190.26","12","3/11/2019","12:55","Debit card","4"
"289-65-5721","B","Normal","Female","2","244.11002","6","1/26/2019","19:28","Cash","3"
"545-46-3100","B","Member","Female","1","31.77","2","3/12/2019","13:52","Credit card","10"
"418-02-5978","B","Normal","Female","4","252.26999","9","2/11/2019","10:54","Cash","10"
"269-04-5750","B","Member","Male","2","221.45999","4","2/21/2019","18:31","Cash","8"
"157-13-5295","A","Member","Male","4","155.81999","8","3/9/2019","18:24","Debit card","8"
"645-78-8093","A","Normal","Female","6","279.41998","2","1/20/2019","18:09","Debit card","5"
"211-30-9270","C","Normal","Male","4","52.23","5","1/28/2019","15:16","Credit card","6"
"755-12-3214","C","Member","Female","2","132.66","4","3/5/2019","17:07","Credit card","10"
"346-84-3103","B","Member","Female","1","null","12","3/2/2019","19:26","Cash","2"
"478-06-7835","A","Normal","Male","2","269.07","1","1/11/2019","11:20","Debit card","6"
"540-11-4336","A","Normal","Male","3","74.82","9","1/11/2019","16:49","Credit card","7"
"448-81-5016","A","Normal","Male","4","179.31","3","3/11/2019","12:01","Credit card","3"
"142-72-4741","C","Member","Male","2","279.59998","2","2/28/2019","18:37","Credit card","7"
"217-58-1179","A","Member","Male","5","187.95001","4","1/5/2019","11:25","Cash","5"
"376-02-8238","B","Normal","Male","5","null","8","2/2/2019","18:42","Credit card","10"
"530-90-9855","A","Member","Male","5","142.77","8","1/1/2019","14:47","Cash","7"
"866-05-7563","B","Member","Female","1","244.20001","9","2/9/2019","19:43","Cash","2"
"604-70-6476","A","Member","Male","2","53.82","5","1/23/2019","14:04","Debit card","8"
"799-71-1548","A","Member","Male","1","233.16","4","1/7/2019","16:11","Credit card","10"
"785-13-7708","B","Normal","Male","3","219.18","21","1/14/2019","19:06","Credit card","2"
"845-51-0542","B","Member","Male","3","null","27","2/2/2019","15:34","Debit card","8"
"662-47-5456","C","Member","Male","2","105.56999","8","3/17/2019","19:06","Credit card","10"
"883-17-4236","C","Normal","Female","6","null","1","3/2/2019","19:44","Credit card","9"
"290-68-2984","A","Normal","Male","5","71.25","3","3/16/2019","11:22","Cash","6"
"704-11-6354","A","Member","Male","5","176.70001","8","1/6/2019","11:23","Cash","10"
"110-48-7033","B","Member","Male","2","97.86","4","1/29/2019","14:12","Cash","10"
"366-93-0948","A","Member","Male","1","199.04999","1","1/31/2019","10:46","Credit card","10"
"729-09-9681","A","Member","Male","5","77.729996","6","2/5/2019","10:16","Debit card","10"
"151-16-1484","A","Member","Male","1","96.75","8","2/13/2019","12:38","Debit card","3"
"380-94-4661","C","Member","Male","1","197.82","4","2/7/2019","13:05","Credit card","8"
"850-41-9669","A","Normal","Female","1","225.18","7","3/19/2019","13:25","Debit card","8"
"821-07-3596","C","Normal","Female","2","49.350002","3","3/7/2019","14:53","Debit card","7"
"655-85-5130","B","Member","Female","2","114.899994","9","3/13/2019","19:22","Cash","3"
"447-15-7839","A","Member","Female","6","66.72","40","2/9/2019","11:00","Cash","5"
"154-74-7179","B","Normal","Male","6","163.35","3","2/26/2019","19:24","Debit card","4"
"253-12-6086","A","Member","Female","6","295.2","84","3/12/2019","12:43","Credit card","5"
"808-65-0703","C","Normal","Male","5","106.41","3","3/14/2019","17:22","Credit card","8"
"571-94-0759","B","Member","Female","3","223.79999","10","1/8/2019","20:55","Cash","10"
"144-51-6085","A","Member","Male","5","212.22","4","1/5/2019","16:05","Credit card","5"
"731-14-2199","A","Member","Female","5","106.62","10","1/4/2019","13:34","Debit card","9"
"783-09-1637","B","Normal","Female","6","202.29001","4","3/6/2019","18:13","Debit card","8"
"687-15-1097","C","Member","Female","4","63.36","2","1/3/2019","19:17","Cash","10"
"126-54-1082","A","Member","Female","5","64.62","9","1/7/2019","11:44","Credit card","10"
"633-91-1052","A","Normal","Female","5","36.09","2","1/27/2019","15:51","Cash","6"
"477-24-6490","B","Normal","Female","4","299.13","6","2/26/2019","16:52","Debit card","10"
"566-19-5475","B","Normal","Male","2","143.91","7","1/7/2019","20:52","Cash","8"
"526-86-8552","C","Member","Female","5","65.46","10","1/7/2019","17:36","Cash","9"
"376-56-3573","C","Normal","Female","2","null","4","2/2/2019","13:23","Debit card","8"
"537-72-0426","C","Member","Male","2","212.97","8","3/20/2019","16:28","Cash","7"
"828-61-5674","A","Member","Male","6","132.06","16","3/20/2019","19:57","Credit card","5"
"136-08-6195","A","Normal","Female","5","209.88","8","2/15/2019","17:01","Credit card","8"
"523-38-0215","C","Normal","Male","5","111","0","3/6/2019","13:29","Credit card","10"
"490-29-1201","A","Normal","Female","6","46.02","1","1/6/2019","11:09","Cash","8"
"667-92-0055","A","Member","Male","4","299.49","4","3/4/2019","15:02","Debit card","10"
"565-17-3836","A","Member","Female","4","143.01","3","3/12/2019","14:21","Cash","10"
"498-41-1961","B","Normal","Male","4","200.04001","5","2/20/2019","18:01","Cash","9"
"593-95-4461","C","Member","Male","5","224.58","0","3/24/2019","14:49","Cash","8"
"226-71-3580","C","Normal","Female","6","71.25","9","1/31/2019","12:02","Cash","10"
"283-79-9594","B","Normal","Female","3","145.53","7","1/25/2019","13:30","Credit card","6"
"430-60-3493","A","Member","Female","5","284.63998","7","2/3/2019","14:38","Cash","5"
"139-20-0155","B","Member","Male","1","120.899994","10","1/24/2019","17:37","Credit card","9"
"558-80-4082","C","Normal","Male","1","83.55","5","3/14/2019","17:20","Debit card","7"
"278-97-7759","A","Member","Female","1","187.44","1","2/18/2019","20:29","Cash","6"
"316-68-6352","A","Member","Female","3","109.08","2","1/21/2019","10:00","Cash","9"
"585-03-5943","B","Normal","Male","4","54.33","8","3/13/2019","11:46","Debit card","7"
"211-05-0490","C","Member","Female","1","155.76","4","3/3/2019","13:42","Cash","9"
"727-75-6477","C","Normal","Male","1","86.520004","3","3/29/2019","14:44","Cash","8"
"744-02-5987","A","Member","Male","5","235.13998","6","1/10/2019","14:16","Debit card","7"
"307-83-9164","A","Member","Male","5","180.03","4","1/25/2019","15:54","Cash","5"
"779-06-0012","C","Member","Female","5","265.83002","2","1/19/2019","10:21","Cash","4"
"446-47-6729","C","Normal","Male","2","null","2","1/2/2019","18:09","Credit card","8"
"573-10-3877","B","Member","Male","4","117.03","0","3/12/2019","16:46","Credit card","6"
"735-06-4124","C","Normal","Male","3","145.83","1","2/25/2019","15:31","Cash","5"
"439-54-7422","A","Normal","Female","1","153.56999","3","3/18/2019","17:15","Credit card","6"
"396-90-2219","B","Normal","Female","1","44.88","24","2/23/2019","12:29","Cash","5"
"411-77-0180","A","Member","Male","1","216.59999","5","3/26/2019","20:14","Debit card","5"
"286-01-5402","A","Normal","Female","6","120.69","5","3/30/2019","13:22","Cash","10"
"803-17-8013","A","Member","Female","5","266.37","8","2/17/2019","17:09","Cash","5"
"512-98-1403","A","Member","Female","1","79.44","2","3/21/2019","10:40","Debit card","6"
"848-42-2560","A","Normal","Female","2","245.73001","1","3/5/2019","17:43","Cash","10"
"532-59-7201","B","Member","Male","6","239.79001","6","1/31/2019","14:04","Cash","7"
"181-94-6432","C","Member","Male","2","207.99","2","2/5/2019","19:05","Debit card","10"
"870-76-1733","A","Member","Female","3","42.69","5","2/1/2019","10:08","Credit card","5"
"423-64-4619","A","Member","Female","4","46.65","7","3/7/2019","13:12","Cash","6"
"227-07-4446","C","Member","Female","1","234.38998","10","2/10/2019","20:51","Cash","5"
"174-36-3675","C","Member","Male","3","298.11002","6","2/14/2019","17:29","Cash","6"
"428-83-5800","C","Member","Female","3","63.239998","7","2/9/2019","10:25","Cash","4"
"603-07-0961","C","Member","Male","1","224.37","5","1/10/2019","11:34","Cash","6"
